시군명,관할군구명,관할읍면동명,시공소재지위치,시공사정보,시행사정보,민간공공구분명,임대분양구분명,규모별면적(㎥),총분양가구수(개),당월미분양가구수(개),분양청약일자,입주예정일자,준공여부구분명,비고
안성시,,신소현동,경기도 안성시 신소현동 84번지,에스엠상선㈜,한국투자부동산신탁㈜,민간,분양,84,660,360,Dec-24,Mar-24,미준공,
안성시,,신소현동,경기도 안성시 신소현동 84번지,에스엠상선㈜,한국투자부동산신탁㈜,민간,분양,84,316,166,Dec-24,Mar-24,미준공,
안성시,,죽산면,경기도 안성시 죽산면 790번지,남광토건㈜,한국투자부동산신탁㈜,민간,분양,74,20,15,Jan-24,Nov-24,미준공,
안성시,,죽산면,경기도 안성시 죽산면 790번지,남광토건㈜,한국투자부동산신탁㈜,민간,분양,74,155,92,Jan-24,Nov-24,미준공,
안성시,,공도읍,경기도 안성시 공도읍 진사리 33번지 일원,효성중공업㈜,우리자산신탁㈜,민간,분양,100.97,35,16,May-24,Mar-24,미준공,
안성시,,공도읍,경기도 안성시 공도읍 진사리 33번지 일원,효성중공업㈜,우리자산신탁㈜,민간,분양,84.97,148,34,May-24,Mar-24,미준공,
안성시,,공도읍,경기도 안성시 공도읍 진사리 33번지 일원,효성중공업㈜,우리자산신탁㈜,민간,분양,84.98,293,128,May-24,Mar-24,미준공,
안성시,,공도읍,경기도 안성시 공도읍 진사리 33번지 일원,효성중공업㈜,우리자산신탁㈜,민간,분양,74.98,161,1,May-24,Mar-24,미준공,
안성시,,공도읍,경기도 안성시 공도읍 진사리 29-13번지 일원,효성중공업㈜,우리자산신탁㈜,민간,분양,100.97,37,1,May-24,Mar-24,미준공,
안성시,,공도읍,경기도 안성시 공도읍 진사리 29-13번지 일원,효성중공업㈜,우리자산신탁㈜,민간,분양,84.97,121,10,May-24,Mar-24,미준공,
안성시,,공도읍,경기도 안성시 공도읍 진사리 29-13번지 일원,효성중공업㈜,우리자산신탁㈜,민간,분양,84.98,105,24,May-24,Mar-24,미준공,
안성시,,공도읍,경기도 안성시 공도읍 진사리 29-13번지 일원,효성중공업㈜,우리자산신탁㈜,민간,분양,74.98,92,2,May-24,Mar-24,미준공,
안성시,,공도읍,경기도 안성시 공도읍 양기리 302-2번지,"우방산업㈜, ㈜태길종합건설, 동아건설산업㈜","우방산업㈜, ㈜태길종합건설, 동아건설산업㈜",민간,분양,148.93,2,2,Feb-24,Oct-24,미준공,
안성시,,공도읍,경기도 안성시 공도읍 양기리 302-2번지,"우방산업㈜, ㈜태길종합건설, 동아건설산업㈜","우방산업㈜, ㈜태길종합건설, 동아건설산업㈜",민간,분양,84.96,265,0,Jan-24,Jan-24,미준공,
안성시,,공도읍,경기도 안성시 공도읍 양기리 302-2번지,"우방산업㈜, ㈜태길종합건설, 동아건설산업㈜","우방산업㈜, ㈜태길종합건설, 동아건설산업㈜",민간,분양,84.94,681,0,Jan-24,Jan-24,미준공,
